                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7357,                 5.2406,                 4.3968,                0.00033,                0.04762,                0.00027,                  6e-05,                  3.618,                 5.9113,                 4.1592,                  8e-05,                  8e-05,                  8e-05
                      1,                 3.7443,                 4.7813,                 4.3725,                 0.0005,                0.07143,                0.00065,                0.00011,                 3.6182,                 5.9127,                 4.1588,             0.00016218,             0.00016218,             0.00016218
                      2,                  3.567,                 4.9432,                 4.2589,                0.00033,                0.04762,                0.00049,                0.00011,                 3.6188,                 5.9168,                 4.1574,             0.00022456,             0.00022456,             0.00022456
                      3,                 3.5053,                 4.8304,                 4.2731,                 0.0005,                0.07143,                0.00044,                  9e-05,                 3.6194,                 5.9193,                 4.1557,             0.00026714,             0.00026714,             0.00026714
                      4,                 3.5465,                 4.8651,                 4.2295,                 0.0005,                0.07143,                0.00042,                  7e-05,                 3.6212,                 5.9183,                 4.1526,             0.00028992,             0.00028992,             0.00028992
                      5,                 3.6592,                 4.9857,                 4.2194,                 0.0005,                0.07143,                0.00039,                  6e-05,                 3.6226,                 5.9094,                 4.1498,              0.0002929,              0.0002929,              0.0002929
                      6,                 3.6025,                 4.8507,                 4.2191,                 0.0005,                0.07143,                0.00036,                  7e-05,                  3.624,                 5.8845,                 4.1449,             0.00027608,             0.00027608,             0.00027608
                      7,                 3.5102,                 4.7295,                 4.1481,                 0.0005,                0.07143,                0.00037,                  9e-05,                 3.6243,                 5.8659,                 4.1417,             0.00023946,             0.00023946,             0.00023946
                      8,                 3.4737,                 4.7982,                 4.1653,                 0.0005,                0.07143,                0.00036,                  7e-05,                 3.6243,                 5.8326,                 4.1373,             0.00018304,             0.00018304,             0.00018304
                      9,                 3.6087,                  4.693,                 4.1474,                 0.0005,                0.07143,                0.00036,                  7e-05,                 3.6246,                 5.8106,                 4.1353,             0.00010682,             0.00010682,             0.00010682
